nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,IKEA Ektorp,kärnnamn,400,900,307,731,2346,15,weighted,type_system:text+union3,9.0,weighted,2-sits,,"variant,storlek","['baddsoffa', 'hornsoffa', 'soffa']",none,full,ikea|okand|ektorp|2,asking,"Tunt underlag: motsvarande 9 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,storlek
1,IKEA Ektorp,kärnnamn + bild,400,900,307,731,2346,15,weighted,type_system:text+union3,9.0,weighted,2-sits,,"variant,storlek","['baddsoffa', 'hornsoffa', 'soffa']",none,full,ikea|okand|ektorp|2,asking,"Tunt underlag: motsvarande 9 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn,2000,2500,900,1500,4000,15,weighted,type_system:text,15.0,filtered,3-sits,,variant,['baddsoffa'],none,full,ikea|baddsoffa||3,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,False,-0.25,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn + bild,2000,2500,900,1500,4000,15,weighted,type_system:text,15.0,filtered,3-sits,,variant,['baddsoffa'],none,full,ikea|baddsoffa||3,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,False,-0.25,storlek
3,IKEA Vimle,kärnnamn,1500,3000,213,2836,4894,15,weighted,type_system:text+union3,5.1,weighted,3-sits,,"variant,storlek","['baddsoffa', 'hornsoffa', 'soffa']",none,utan_konfiguration,ikea|okand|vimle,asking,"Tunt underlag: motsvarande 5 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,storlek
3,IKEA Vimle,kärnnamn + bild,1500,3000,213,2836,4894,15,weighted,type_system:text+union3,5.1,weighted,3-sits,,"variant,storlek","['baddsoffa', 'hornsoffa', 'soffa']",none,utan_konfiguration,ikea|okand|vimle,asking,"Tunt underlag: motsvarande 5 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,storlek
4,Mio Cordelia,kärnnamn,1500,3000,800,1000,2000,76,filtered,type_system:text,76.0,none,,,,['fatolj'],none,full,mio|fatolj||,asking,Baserat på 76 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.3333333333333333,övrigt
4,Mio Cordelia,kärnnamn + bild,1500,3000,800,1000,2000,76,filtered,type_system:text,76.0,none,,,,['fatolj'],none,full,mio|fatolj||,asking,Baserat på 76 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.3333333333333333,övrigt
5,IKEA Jennylund,kärnnamn,200,700,150,400,600,15,weighted,type_system:text,13.5,none,,,variant,['fatolj'],none,full,ikea|fatolj|jennylund|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
5,IKEA Jennylund,kärnnamn + bild,200,700,150,400,600,15,weighted,type_system:text,13.5,none,,,variant,['fatolj'],none,full,ikea|fatolj|jennylund|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
6,IKEA Strandmon,kärnnamn,1000,2000,300,900,1200,24,weighted,type_system:text,21.0,none,,,variant,['fatolj'],none,full,ikea|fatolj|strandmon|,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.1,övrigt
6,IKEA Strandmon,kärnnamn + bild,1000,2000,300,900,1200,24,weighted,type_system:text,21.0,none,,,variant,['fatolj'],none,full,ikea|fatolj|strandmon|,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.1,övrigt
7,Sofacompany Clara Rak bäddsoffa,kärnnamn,7000,10000,1400,2000,3000,55,filtered,type_system:text,55.0,none,,,,['baddsoffa'],none,full,|bunt:okand_bastyp||,asking,Baserat på 55 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa.,high,False,False,-0.7142857142857143,övrigt
7,Sofacompany Clara Rak bäddsoffa,kärnnamn + bild,7000,10000,1400,2000,3000,55,filtered,type_system:text,55.0,none,,,,['baddsoffa'],none,full,|bunt:okand_bastyp||,asking,Baserat på 55 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa.,high,False,False,-0.7142857142857143,övrigt
