nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,ikea norsborg,kärnnamn,500,1000,411,1407,2000,15,weighted,type_system:prior+union3,15.0,none,,"3-sits,2-sits",variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,utan_konfiguration,ikea|soffa|norsborg,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,0.407,tunt
1,ikea norsborg,kärnnamn + bild,500,1000,411,1407,2000,15,weighted,type_system:image+union3,15.0,none,,"3-sits,2-sits",variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,utan_konfiguration,ikea|soffa|norsborg,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,0.407,tunt
2,Bolia soffa med puff,kärnnamn,8000,11000,605,2599,12489,15,weighted,type_system:text+union3,7.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,bolia|bunt:okand_bastyp||,asking,"Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.675125,tunt
2,Bolia soffa med puff,kärnnamn + bild,8000,11000,605,2599,12489,15,weighted,type_system:text+union3,7.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,bolia|bunt:okand_bastyp||,asking,"Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.675125,tunt
3,Mio Harper soffa,kärnnamn,4000,6500,516,5495,7960,15,weighted,type_system:text+union3,14.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,mio|soffa|harper|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
3,Mio Harper soffa,kärnnamn + bild,4000,6500,516,5495,7960,15,weighted,type_system:text+union3,14.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,mio|soffa|harper|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
4,Jysk Egedal,kärnnamn,1000,2000,1000,2000,3000,40,none,unresolved,40.0,none,,"2-sits,3-sits",,,none,marke_x_typ,jysk|soffa,asking,"Baserat på 40 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.",low,True,True,0.0,övrigt
4,Jysk Egedal,kärnnamn + bild,1000,2000,1000,2000,3000,40,none,unresolved,40.0,none,,"2-sits,3-sits",,,none,marke_x_typ,jysk|soffa,asking,"Baserat på 40 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.",low,True,True,0.0,övrigt
5,Jysk Allese,kärnnamn,4000,6500,300,490,700,230,none,unresolved,230.0,none,,,,,none,marke_x_typ,jysk|okand,asking,"Baserat på 230 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.",low,False,False,-0.8775,övrigt
5,Jysk Allese,kärnnamn + bild,4000,6500,400,500,900,230,weighted,type_system:image+union3,70.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,marke_x_typ,jysk|okand,asking,Baserat på 230 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,False,False,-0.875,övrigt
6,Jysk fåtölj,kärnnamn,350,1000,200,300,1300,16,weighted,type_system:text,16.0,none,,,variant,['fatolj'],none,full,jysk|fatolj||,asking,Baserat på 16 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.14285714285714285,tunt
6,Jysk fåtölj,kärnnamn + bild,350,1000,200,300,1300,16,weighted,type_system:text,16.0,none,,,variant,['fatolj'],none,full,jysk|fatolj||,asking,Baserat på 16 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.14285714285714285,tunt
7,Swedese Lamino,kärnnamn,8500,12000,4384,7089,10432,15,none,unresolved,15.0,none,,,,,none,full,swedese|okand|lamino|,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.166,tunt
7,Swedese Lamino,kärnnamn + bild,8500,12000,6000,10000,14000,15,ignored,type_system:image+union2,15.0,none,,,,"['fatolj', 'stol']",none,full,swedese|okand|lamino|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj eller stol gav för tunt underlag och ingår inte i beräkningen.",high,True,True,0.0,tunt
8,DUX Bruno Mathsson Eva,kärnnamn,3500,6500,4630,6629,9784,21,none,unresolved,21.0,none,,,,,none,full,dux|fatolj|bruno eva mathsson|,realized_corrected_1.42,"Baserat på 21 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.42. Endast annonser från senaste 8 månaderna. Bara 21 annonser av just den modellen, så priset är sammanvägt med 57 liknande annonser av samma märke och möbeltyp (vikt 0.78 på modellen).",low,True,False,0.019846153846153847,övrigt
8,DUX Bruno Mathsson Eva,kärnnamn + bild,3500,6500,4828,6820,9230,21,weighted,type_system:image+union2,21.0,none,,,variant,"['fatolj', 'stol']",none,full,dux|fatolj|bruno eva mathsson|,realized_corrected_1.42,Baserat på 21 liknande annonser. Baserat på realized_corrected_1.42. Endast annonser från senaste 8 månaderna.,high,True,False,0.04923076923076923,övrigt
9,Matbord trä,kärnnamn,3000,7000,750,1000,4950,1952,filtered,type_system:text+union2,1952.0,none,,"50-100cm,100-150cm,150-200cm,250-300cm,200-250cm,6 stolar,300-350cm",,"['matbord', 'matgrupp']",none,full,|matbord||,asking_forced_unknown_identity,Baserat på 1952 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matbord eller matgrupp.,low,True,False,-0.6666666666666666,anonym
9,Matbord trä,kärnnamn + bild,3000,7000,330,880,2000,26,filtered,type_system:text+union2,18.1,none,,,,"['matbord', 'matgrupp']",none,full,|matbord||,visual_cohort,"Baserat på 26 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 15x, så priset bygger på 26 annonser som LIKNAR din bild (likhet 0.66–0.79). Bara 26 annonser av just den modellen, så priset är sammanvägt med 6677 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen). Endast matbord eller matgrupp.",low,False,False,-0.7066666666666667,anonym
10,Mio matgrupp,kärnnamn,3000,5000,2000,2500,3000,52,filtered,type_system:text,52.0,none,,,,['matgrupp'],none,full,mio|matgrupp||,asking,Baserat på 52 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,high,True,False,-0.16666666666666666,övrigt
10,Mio matgrupp,kärnnamn + bild,3000,5000,2000,2500,3000,52,filtered,type_system:text,52.0,none,,,,['matgrupp'],none,full,mio|matgrupp||,asking,Baserat på 52 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,high,True,False,-0.16666666666666666,övrigt
11,Matgrupp byCrea,kärnnamn,5000,15000,1800,2200,3900,404,filtered,type_system:text,404.0,none,,,,['matgrupp'],none,full,|matgrupp||,asking_forced_unknown_identity,Baserat på 404 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matgrupp.,high,False,False,-0.56,anonym
11,Matgrupp byCrea,kärnnamn + bild,5000,15000,158,1250,2500,30,filtered,type_system:text,19.8,none,,,,['matgrupp'],none,full,|matgrupp||,visual_cohort,"Baserat på 30 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 14x, så priset bygger på 30 annonser som LIKNAR din bild (likhet 0.64–0.68). Endast matgrupp.",low,False,False,-0.75,anonym
12,DUX säng 303,kärnnamn,50000,80000,80,1000,10000,15,weighted,type_system:text,15.0,none,,,variant,['sang'],none,full,dux|sang||,asking,Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,False,False,-0.98,tunt
12,DUX säng 303,kärnnamn + bild,50000,80000,80,1000,10000,15,weighted,type_system:text,15.0,none,,,variant,['sang'],none,full,dux|sang||,asking,Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,False,False,-0.98,tunt
13,Ikea skotterud,kärnnamn,1000,2500,300,1830,4000,15,weighted,type_system:prior,9.8,none,,,variant,['sang'],none,full,ikea|sang|skotterud|,asking,Tunt underlag: motsvarande 10 annonser efter viktning. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,low,True,True,0.0,tunt
13,Ikea skotterud,kärnnamn + bild,1000,2500,300,1830,4000,15,weighted,type_system:image,9.8,none,,,variant,['sang'],none,full,ikea|sang|skotterud|,asking,Tunt underlag: motsvarande 10 annonser efter viktning. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,low,True,True,0.0,tunt
