nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,IKEA Ektorp,kärnnamn,400,900,360,858,2000,15,weighted,type_system:text+union3,8.2,no_match,2-sits,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,ikea|okand|ektorp|,asking,"Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,storlek
1,IKEA Ektorp,kärnnamn + bild,400,900,360,858,2000,15,weighted,type_system:text+union3,8.2,no_match,2-sits,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,ikea|okand|ektorp|,asking,"Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn,2000,2500,200,299,500,1489,weighted,type_system:text,96.1,weighted,3-sits,,"variant,storlek",['baddsoffa'],none,full,ikea|okand||,asking,Baserat på 1489 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,False,False,-0.8505,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn + bild,2000,2500,200,299,500,1489,weighted,type_system:text,96.1,weighted,3-sits,,"variant,storlek",['baddsoffa'],none,full,ikea|okand||,asking,Baserat på 1489 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,False,False,-0.8505,storlek
3,IKEA Vimle,kärnnamn,1500,3000,213,3180,4894,15,weighted,type_system:text+union3,4.9,weighted,3-sits,,"variant,storlek","['baddsoffa', 'hornsoffa', 'soffa']",none,full,ikea|okand|vimle|,asking,"Tunt underlag: motsvarande 5 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,0.06,storlek
3,IKEA Vimle,kärnnamn + bild,1500,3000,213,3180,4894,15,weighted,type_system:text+union3,4.9,weighted,3-sits,,"variant,storlek","['baddsoffa', 'hornsoffa', 'soffa']",none,full,ikea|okand|vimle|,asking,"Tunt underlag: motsvarande 5 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,0.06,storlek
4,Mio Cordelia,kärnnamn,1500,3000,400,600,4140,276,weighted,type_system:text,77.2,none,,"divan,3-sits,u-soffa",variant,['fatolj'],none,full,mio|okand||,asking,Baserat på 276 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,low,True,False,-0.6,övrigt
4,Mio Cordelia,kärnnamn + bild,1500,3000,400,600,4140,276,weighted,type_system:text,77.2,none,,"divan,3-sits,u-soffa",variant,['fatolj'],none,full,mio|okand||,asking,Baserat på 276 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,low,True,False,-0.6,övrigt
5,IKEA Jennylund,kärnnamn,200,700,150,400,600,15,weighted,type_system:text,13.5,none,,,variant,['fatolj'],none,full,ikea|fatolj|jennylund|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
5,IKEA Jennylund,kärnnamn + bild,200,700,150,400,600,15,weighted,type_system:text,13.5,none,,,variant,['fatolj'],none,full,ikea|fatolj|jennylund|,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
6,IKEA Strandmon,kärnnamn,1000,2000,300,900,1200,24,weighted,type_system:text,21.0,none,,,variant,['fatolj'],none,full,ikea|fatolj|strandmon|,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.1,övrigt
6,IKEA Strandmon,kärnnamn + bild,1000,2000,300,900,1200,24,weighted,type_system:text,21.0,none,,,variant,['fatolj'],none,full,ikea|fatolj|strandmon|,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.1,övrigt
7,Sofacompany Clara Rak bäddsoffa,kärnnamn,7000,10000,500,1500,2700,33,filtered,type_system:text,33.0,none,,,,['baddsoffa'],none,full,|okand||,asking,Baserat på 33 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa.,high,False,False,-0.7857142857142857,övrigt
7,Sofacompany Clara Rak bäddsoffa,kärnnamn + bild,7000,10000,500,1500,2700,33,filtered,type_system:text,33.0,none,,,,['baddsoffa'],none,full,|okand||,asking,Baserat på 33 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa.,high,False,False,-0.7857142857142857,övrigt
8,Sweef Valen 224 Rak soffa,kärnnamn,7000,12000,2116,7914,16253,15,weighted,type_system:text+union3,7.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,|okand|valen|,asking,"Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
8,Sweef Valen 224 Rak soffa,kärnnamn + bild,7000,12000,2116,7914,16253,15,weighted,type_system:text+union3,7.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,full,|okand|valen|,asking,"Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
9,Mio Santos,kärnnamn,700,1000,450,700,4279,386,weighted,type_system:text+union2,107.8,none,,"divan,2-sits,3-sits,u-soffa",variant,"['matbord', 'matgrupp']",none,marke_x_typ,mio|okand,asking,Baserat på 386 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,low,True,True,0.0,övrigt
9,Mio Santos,kärnnamn + bild,700,1000,450,700,4279,386,weighted,type_system:text+union2,107.8,none,,"divan,2-sits,3-sits,u-soffa",variant,"['matbord', 'matgrupp']",none,marke_x_typ,mio|okand,asking,Baserat på 386 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,low,True,True,0.0,övrigt
10,IKEA PINNTORP,kärnnamn,600,800,500,600,999,248,ignored,type_system:text,248.0,no_match,4 stolar,,,['matgrupp'],none,marke_x_typ,ikea|matbord,asking,Baserat på 248 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.,high,True,True,0.0,storlek
10,IKEA PINNTORP,kärnnamn + bild,600,800,500,600,999,248,ignored,type_system:text,248.0,no_match,4 stolar,,,['matgrupp'],none,marke_x_typ,ikea|matbord,asking,Baserat på 248 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.,high,True,True,0.0,storlek
11,Kinnarps Capella X / Capella Classic,kärnnamn,1300,1600,300,450,800,2785,filtered,type_system:text+union2,2785.0,none,,,,"['fatolj', 'stol']",none,full,|okand||,asking,Baserat på 2785 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj eller stol.,high,False,False,-0.6538461538461539,övrigt
11,Kinnarps Capella X / Capella Classic,kärnnamn + bild,1300,1600,300,450,800,2785,filtered,type_system:text+union2,2785.0,none,,,,"['fatolj', 'stol']",none,full,|okand||,asking,Baserat på 2785 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj eller stol.,high,False,False,-0.6538461538461539,övrigt
