nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,Mio Town,kärnnamn,7000,12000,950.0,5269.0,8609.0,26,none,unresolved,26.0,none,,,,,none,,,asking,"Baserat på 26 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 26 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen).",low,True,False,-0.24728571428571428,övrigt
1,Mio Town,kärnnamn + bild,7000,12000,2000.0,5972.0,9303.0,26,weighted,type_system:image+union3,23.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 26 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 26 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen).",low,True,False,-0.14685714285714285,övrigt
2,Mio Saturday,kärnnamn,3000,6000,3349.0,5742.0,9289.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 374 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
2,Mio Saturday,kärnnamn + bild,3000,6000,2983.0,5495.0,9013.0,15,weighted,type_system:image+union3,14.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
3,Mio Bridge,kärnnamn,3500,7000,884.0,3752.0,5260.0,21,none,unresolved,21.0,none,,,,,none,,,asking,"Baserat på 21 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 21 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.78 på modellen).",low,True,True,0.0,övrigt
3,Mio Bridge,kärnnamn + bild,3500,7000,884.0,3752.0,5260.0,21,weighted,type_system:image+union3,20.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 21 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 21 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.78 på modellen).",low,True,True,0.0,övrigt
4,IKEA karlstrand,kärnnamn,500,2000,,,,0,none,unresolved,0.0,none,,,,,none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt
4,IKEA karlstrand,kärnnamn + bild,500,2000,,,,0,ignored,type_system:image+union3,0.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt
5,Bellus soffa,kärnnamn,2000,6000,1000.0,4000.0,10000.0,24,weighted,type_system:text+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,övrigt
5,Bellus soffa,kärnnamn + bild,2000,6000,1000.0,4000.0,10000.0,24,weighted,type_system:text+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,övrigt
