nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,IKEA Ektorp,kärnnamn,400,900,500,1000,1500,90,filtered,type_system:text+union3,36.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 90 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,False,0.1111111111111111,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn,2000,2500,1500,2500,3500,57,ignored,type_system:text,29.2,weighted,3-sits,,storlek,['baddsoffa'],none,,,asking,Baserat på 57 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.,high,True,True,0.0,storlek
3,IKEA Vimle,kärnnamn,1500,3000,1500,2995,4000,75,filtered,type_system:text+union3,33.8,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 75 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek
4,Mio Cordelia,kärnnamn,1500,3000,1300,2600,2890,5,ignored,type_system:text,5.0,none,,,,['fatolj'],none,,,asking,"Tunt underlag: bara 5 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt
5,IKEA Jennylund,kärnnamn,200,700,150,250,600,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
6,IKEA Strandmon,kärnnamn,1000,2000,600,900,1000,42,filtered,type_system:text,42.0,none,,,,['fatolj'],none,,,asking,Baserat på 42 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt
7,Sofacompany Clara Rak bäddsoffa,kärnnamn,7000,10000,6000,7500,9000,2,ignored,type_system:text,2.0,none,,,,['baddsoffa'],none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt
8,Sweef Valen 224 Rak soffa,kärnnamn,7000,12000,5695,8642,12052,15,weighted,type_system:text+union3,10.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
9,Mio Santos,kärnnamn,700,1000,224,1346,3627,18,weighted,type_system:text+union2,9.0,none,,,"variant,cellfilter_typ","['matbord', 'matgrupp']",none,,,asking,"Tunt underlag: motsvarande 9 annonser efter viktning. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 18 annonser av just den modellen, så priset är sammanvägt med 873 liknande annonser av samma märke och möbeltyp (vikt 0.75 på modellen).",low,True,False,0.346,tunt
10,IKEA PINNTORP,kärnnamn,300,800,131,600,970,15,ignored,type_system:text+union2,12.0,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1275 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matbord eller matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt
11,Kinnarps Capella X / Capella Classic,kärnnamn,1300,1600,1346,2447,5178,15,weighted,type_system:text+union2,10.5,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Baserat på 15 liknande annonser. Sökningen breddades: orden 'x' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 74 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,0.529375,tunt
12,IKEA PINNTORP,kärnnamn,1500,2500,124,500,910,15,ignored,type_system:text,15.0,no_match,4 stolar,,,['matgrupp'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 520 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,False,False,-0.6666666666666666,storlek
