nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,Mio Town,kärnnamn,7000,12000,666.0,6061.0,9143.0,23,none,unresolved,23.0,none,,,,,none,,,asking,"Baserat på 23 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 23 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.79 på modellen).",low,True,False,-0.13414285714285715,övrigt
1,Mio Town,kärnnamn + bild,7000,12000,666.0,6402.0,9143.0,23,weighted,type_system:image+union3,20.8,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 23 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 23 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.79 på modellen).",low,True,False,-0.08542857142857142,övrigt
2,Mio Saturday,kärnnamn,3000,6000,3349.0,5843.0,7609.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 374 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
2,Mio Saturday,kärnnamn + bild,3000,6000,2983.0,5620.0,7383.0,15,weighted,type_system:image+union3,14.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
3,Mio Bridge,kärnnamn,3500,7000,892.0,3876.0,5251.0,20,none,unresolved,20.0,none,,,,,none,,,asking,"Baserat på 20 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 20 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.77 på modellen).",low,True,True,0.0,övrigt
3,Mio Bridge,kärnnamn + bild,3500,7000,892.0,3876.0,5251.0,20,weighted,type_system:image+union3,19.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 20 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 20 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.77 på modellen).",low,True,True,0.0,övrigt
4,IKEA karlstrand,kärnnamn,500,2000,,,,0,none,unresolved,0.0,none,,,,,none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt
4,IKEA karlstrand,kärnnamn + bild,500,2000,,,,0,ignored,type_system:image+union3,0.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt
5,Bellus soffa,kärnnamn,2000,6000,600.0,4000.0,10000.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
5,Bellus soffa,kärnnamn + bild,2000,6000,600.0,4000.0,10000.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
6,IKEA stocksund,kärnnamn,800,2000,510.0,1077.0,1581.0,27,weighted,type_system:prior+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 27 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 27 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.82 på modellen).",low,True,True,0.0,övrigt
6,IKEA stocksund,kärnnamn + bild,800,2000,510.0,1077.0,1581.0,27,weighted,type_system:image+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 27 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 27 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.82 på modellen).",low,True,True,0.0,övrigt
7,Stalands happy,kärnnamn,3000,6000,1157.0,3667.0,5931.0,2,none,unresolved,2.0,none,,,,,none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 2 annonser av just den modellen, så priset är sammanvägt med 25 liknande annonser av samma märke och möbeltyp (vikt 0.25 på modellen).",low,True,True,0.0,tunt
7,Stalands happy,kärnnamn + bild,3000,6000,1157.0,3667.0,5931.0,2,ignored,type_system:image+union3,2.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 2 annonser av just den modellen, så priset är sammanvägt med 25 liknande annonser av samma märke och möbeltyp (vikt 0.25 på modellen). Möbeltypen bäddsoffa, hörnsoffa eller soffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt
8,Kartell Victoria Ghost,kärnnamn,1000,2000,400.0,835.0,1385.0,15,none,unresolved,15.0,none,,,,,none,,,realized_corrected_1.36,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.36. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 50 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.165,tunt
8,Kartell Victoria Ghost,kärnnamn + bild,1000,2000,400.0,835.0,1385.0,15,none,unresolved,15.0,none,,,,,none,,,realized_corrected_1.36,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.36. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 50 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.165,tunt
9,Matgrupp 5 stolar,kärnnamn,1500,2500,390.0,623.0,1575.0,3,ignored,type_system:text,0.8,weighted,5 stolar,,"cellfilter_typ,storlek",['matgrupp'],none,,,asking_forced_unknown_identity,"Tunt underlag: motsvarande 1 annonser efter viktning. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 3 annonser av just den modellen, så priset är sammanvägt med 2913 liknande annonser av samma märke och möbeltyp (vikt 0.33 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,False,-0.5846666666666667,anonym
9,Matgrupp 5 stolar,kärnnamn + bild,1500,2500,390.0,623.0,1575.0,3,ignored,type_system:text,0.8,weighted,5 stolar,,"cellfilter_typ,storlek",['matgrupp'],none,,,asking_forced_unknown_identity,"Tunt underlag: motsvarande 1 annonser efter viktning. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 3 annonser av just den modellen, så priset är sammanvägt med 2913 liknande annonser av samma märke och möbeltyp (vikt 0.33 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,False,-0.5846666666666667,anonym
10,Ekbord med stolar,kärnnamn,2000,5000,50.0,300.0,15000.0,31,filtered,type_system:text+union2,7.8,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,asking_forced_unknown_identity,Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matbord eller matgrupp.,low,True,False,-0.85,anonym
10,Ekbord med stolar,kärnnamn + bild,2000,5000,150.0,862.0,2200.0,18,filtered,type_system:text+union2,14.7,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,visual_cohort,"Baserat på 18 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 47x, så priset bygger på 18 annonser som LIKNAR din bild (likhet 0.79–0.85). Bara 18 annonser av just den modellen, så priset är sammanvägt med 6677 liknande annonser av samma märke och möbeltyp (vikt 0.75 på modellen). Endast matbord eller matgrupp.",low,True,False,-0.569,anonym
