nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass,bench,mode
1,IKEA Ektorp,kärnnamn,400,900,600.0,1000.0,1500.0,109,filtered,type_system:text+union3,43.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 109 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,False,0.1111111111111111,storlek,11,A
1,IKEA Ektorp,kärnnamn + bild,400,900,600.0,1000.0,1500.0,109,filtered,type_system:text+union3,43.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 109 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,False,0.1111111111111111,storlek,11,B
2,IKEA Söderhamn bäddsoffa,kärnnamn,2000,2500,100.0,2500.0,4200.0,50,weighted,type_system:text,12.5,filtered,3-sits,,variant,['baddsoffa'],none,,,asking,Baserat på 50 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,storlek,11,A
2,IKEA Söderhamn bäddsoffa,kärnnamn + bild,2000,2500,100.0,2500.0,4200.0,50,weighted,type_system:text,12.5,filtered,3-sits,,variant,['baddsoffa'],none,,,asking,Baserat på 50 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,storlek,11,B
3,IKEA Vimle,kärnnamn,1500,3000,2000.0,2500.0,4000.0,92,filtered,type_system:text+union3,40.2,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 92 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek,11,A
3,IKEA Vimle,kärnnamn + bild,1500,3000,2000.0,2500.0,4000.0,92,filtered,type_system:text+union3,40.2,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 92 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek,11,B
4,Mio Cordelia,kärnnamn,1500,3000,1300.0,2850.0,9000.0,11,ignored,type_system:text,11.0,none,,,,['fatolj'],none,,,asking,"Baserat på 11 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",high,True,True,0.0,tunt,11,A
4,Mio Cordelia,kärnnamn + bild,1500,3000,1300.0,2850.0,9000.0,11,ignored,type_system:text,11.0,none,,,,['fatolj'],none,,,asking,"Baserat på 11 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",high,True,True,0.0,tunt,11,B
5,IKEA Jennylund,kärnnamn,200,700,150.0,250.0,600.0,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,11,A
5,IKEA Jennylund,kärnnamn + bild,200,700,150.0,250.0,600.0,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,11,B
6,IKEA Strandmon,kärnnamn,1000,2000,750.0,900.0,1200.0,59,filtered,type_system:text,59.0,none,,,,['fatolj'],none,,,asking,Baserat på 59 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt,11,A
6,IKEA Strandmon,kärnnamn + bild,1000,2000,750.0,900.0,1200.0,59,filtered,type_system:text,59.0,none,,,,['fatolj'],none,,,asking,Baserat på 59 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt,11,B
7,Sofacompany Clara Rak bäddsoffa,kärnnamn,7000,10000,6000.0,7500.0,9000.0,2,ignored,type_system:text,2.0,none,,,,['baddsoffa'],none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,A
7,Sofacompany Clara Rak bäddsoffa,kärnnamn + bild,7000,10000,6000.0,7500.0,9000.0,2,ignored,type_system:text,2.0,none,,,,['baddsoffa'],none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,B
8,Sweef Valen 224 Rak soffa,kärnnamn,7000,12000,5695.0,8601.0,12052.0,15,weighted,type_system:text+union3,10.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,11,A
8,Sweef Valen 224 Rak soffa,kärnnamn + bild,7000,12000,5695.0,8601.0,12052.0,15,weighted,type_system:text+union3,10.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,11,B
9,Mio Santos,kärnnamn,700,1000,209.0,1000.0,2657.0,23,weighted,type_system:text+union2,17.0,none,,,variant,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 23 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 23 annonser av just den modellen, så priset är sammanvägt med 873 liknande annonser av samma märke och möbeltyp (vikt 0.79 på modellen).",low,True,True,0.0,övrigt,11,A
9,Mio Santos,kärnnamn + bild,700,1000,209.0,1000.0,2657.0,23,weighted,type_system:text+union2,17.0,none,,,variant,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 23 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 23 annonser av just den modellen, så priset är sammanvägt med 873 liknande annonser av samma märke och möbeltyp (vikt 0.79 på modellen).",low,True,True,0.0,övrigt,11,B
10,IKEA PINNTORP,kärnnamn,300,800,131.0,500.0,935.0,15,ignored,type_system:text+union2,15.0,none,,,,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1275 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matbord eller matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,A
10,IKEA PINNTORP,kärnnamn + bild,300,800,131.0,500.0,935.0,15,ignored,type_system:text+union2,15.0,none,,,,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1275 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matbord eller matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,B
11,Kinnarps Capella X / Capella Classic,kärnnamn,1300,1600,158.0,411.0,2577.0,15,weighted,type_system:text+union2,6.0,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Tunt underlag: motsvarande 6 annonser efter viktning. Sökningen breddades: orden 'capella' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 74 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.6838461538461539,tunt,11,A
11,Kinnarps Capella X / Capella Classic,kärnnamn + bild,1300,1600,158.0,411.0,2577.0,15,weighted,type_system:text+union2,6.0,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Tunt underlag: motsvarande 6 annonser efter viktning. Sökningen breddades: orden 'capella' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 74 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.6838461538461539,tunt,11,B
12,IKEA PINNTORP,kärnnamn,1500,2500,124.0,500.0,910.0,15,ignored,type_system:text,15.0,no_match,4 stolar,,,['matgrupp'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 520 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,False,False,-0.6666666666666666,storlek,11,A
12,IKEA PINNTORP,kärnnamn + bild,1500,2500,124.0,500.0,910.0,15,ignored,type_system:text,15.0,no_match,4 stolar,,,['matgrupp'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 520 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,False,False,-0.6666666666666666,storlek,11,B
1,IKEA Ektorp,kärnnamn,400,900,500.0,900.0,1500.0,90,filtered,type_system:text+union3,36.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 90 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek,11,C
1,IKEA Ektorp,kärnnamn + bild,400,900,500.0,900.0,1500.0,90,filtered,type_system:text+union3,36.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 90 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek,11,D
2,IKEA Söderhamn bäddsoffa,kärnnamn,2000,2500,1500.0,2495.0,3500.0,57,ignored,type_system:text,29.2,weighted,3-sits,,storlek,['baddsoffa'],none,,,asking,Baserat på 57 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.,high,True,True,0.0,storlek,11,C
2,IKEA Söderhamn bäddsoffa,kärnnamn + bild,2000,2500,1500.0,2495.0,3500.0,57,ignored,type_system:text,29.2,weighted,3-sits,,storlek,['baddsoffa'],none,,,asking,Baserat på 57 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.,high,True,True,0.0,storlek,11,D
3,IKEA Vimle,kärnnamn,1500,3000,1500.0,2500.0,4000.0,75,filtered,type_system:text+union3,33.8,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 75 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek,11,C
3,IKEA Vimle,kärnnamn + bild,1500,3000,1500.0,2500.0,4000.0,75,filtered,type_system:text+union3,33.8,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 75 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek,11,D
4,Mio Cordelia,kärnnamn,1500,3000,1300.0,1900.0,2890.0,5,ignored,type_system:text,5.0,none,,,,['fatolj'],none,,,asking,"Tunt underlag: bara 5 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,C
4,Mio Cordelia,kärnnamn + bild,1500,3000,1300.0,1900.0,2890.0,5,ignored,type_system:text,5.0,none,,,,['fatolj'],none,,,asking,"Tunt underlag: bara 5 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,D
5,IKEA Jennylund,kärnnamn,200,700,150.0,250.0,600.0,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,11,C
5,IKEA Jennylund,kärnnamn + bild,200,700,150.0,250.0,600.0,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,11,D
6,IKEA Strandmon,kärnnamn,1000,2000,600.0,900.0,1000.0,42,filtered,type_system:text,42.0,none,,,,['fatolj'],none,,,asking,Baserat på 42 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt,11,C
6,IKEA Strandmon,kärnnamn + bild,1000,2000,600.0,900.0,1000.0,42,filtered,type_system:text,42.0,none,,,,['fatolj'],none,,,asking,Baserat på 42 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt,11,D
7,Sofacompany Clara Rak bäddsoffa,kärnnamn,7000,10000,6000.0,7500.0,9000.0,2,ignored,type_system:text,2.0,none,,,,['baddsoffa'],none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,C
7,Sofacompany Clara Rak bäddsoffa,kärnnamn + bild,7000,10000,6000.0,7500.0,9000.0,2,ignored,type_system:text,2.0,none,,,,['baddsoffa'],none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen bäddsoffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,D
8,Sweef Valen 224 Rak soffa,kärnnamn,7000,12000,5695.0,7977.0,12052.0,15,weighted,type_system:text+union3,10.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,11,C
8,Sweef Valen 224 Rak soffa,kärnnamn + bild,7000,12000,5695.0,7977.0,12052.0,15,weighted,type_system:text+union3,10.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 94 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,11,D
9,Mio Santos,kärnnamn,700,1000,224.0,1315.0,3627.0,18,weighted,type_system:text+union2,9.0,none,,,"variant,cellfilter_typ","['matbord', 'matgrupp']",none,,,asking,"Tunt underlag: motsvarande 9 annonser efter viktning. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 18 annonser av just den modellen, så priset är sammanvägt med 873 liknande annonser av samma märke och möbeltyp (vikt 0.75 på modellen).",low,True,False,0.315,tunt,11,C
9,Mio Santos,kärnnamn + bild,700,1000,224.0,1315.0,3627.0,18,weighted,type_system:text+union2,9.0,none,,,"variant,cellfilter_typ","['matbord', 'matgrupp']",none,,,asking,"Tunt underlag: motsvarande 9 annonser efter viktning. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 18 annonser av just den modellen, så priset är sammanvägt med 873 liknande annonser av samma märke och möbeltyp (vikt 0.75 på modellen).",low,True,False,0.315,tunt,11,D
10,IKEA PINNTORP,kärnnamn,300,800,131.0,570.0,970.0,15,ignored,type_system:text+union2,12.0,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1275 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matbord eller matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,C
10,IKEA PINNTORP,kärnnamn + bild,300,800,131.0,570.0,970.0,15,ignored,type_system:text+union2,12.0,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1275 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matbord eller matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,11,D
11,Kinnarps Capella X / Capella Classic,kärnnamn,1300,1600,158.0,458.0,3542.0,15,weighted,type_system:text+union2,6.0,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Tunt underlag: motsvarande 6 annonser efter viktning. Sökningen breddades: orden 'capella' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 74 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.6476923076923077,tunt,11,C
11,Kinnarps Capella X / Capella Classic,kärnnamn + bild,1300,1600,158.0,458.0,3542.0,15,weighted,type_system:text+union2,6.0,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Tunt underlag: motsvarande 6 annonser efter viktning. Sökningen breddades: orden 'capella' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 74 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.6476923076923077,tunt,11,D
12,IKEA PINNTORP,kärnnamn,1500,2500,124.0,500.0,910.0,15,ignored,type_system:text,15.0,no_match,4 stolar,,,['matgrupp'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 520 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,False,False,-0.6666666666666666,storlek,11,C
12,IKEA PINNTORP,kärnnamn + bild,1500,2500,124.0,500.0,910.0,15,ignored,type_system:text,15.0,no_match,4 stolar,,,['matgrupp'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 520 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,False,False,-0.6666666666666666,storlek,11,D
1,Mio Town,kärnnamn,7000,12000,950.0,5269.0,8609.0,26,none,unresolved,26.0,none,,,,,none,,,asking,"Baserat på 26 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 26 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen).",low,True,False,-0.2472857142857142,övrigt,b1,A
1,Mio Town,kärnnamn + bild,7000,12000,2000.0,5972.0,9303.0,26,weighted,type_system:image+union3,23.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 26 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 26 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen).",low,True,False,-0.1468571428571428,övrigt,b1,B
2,Mio Saturday,kärnnamn,3000,6000,3349.0,5742.0,9289.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 374 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b1,A
2,Mio Saturday,kärnnamn + bild,3000,6000,2983.0,5495.0,9013.0,15,weighted,type_system:image+union3,14.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b1,B
3,Mio Bridge,kärnnamn,3500,7000,884.0,3752.0,5260.0,21,none,unresolved,21.0,none,,,,,none,,,asking,"Baserat på 21 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 21 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.78 på modellen).",low,True,True,0.0,övrigt,b1,A
