nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,ikea norsborg,kärnnamn,500,1000,411,898,3848,15,weighted,type_system:prior+union3,13.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
1,ikea norsborg,kärnnamn + bild,500,1000,411,898,3848,15,weighted,type_system:image+union3,13.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
2,Bolia soffa med puff,kärnnamn,8000,11000,872,5352,12489,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.331,tunt
2,Bolia soffa med puff,kärnnamn + bild,8000,11000,872,5352,12489,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.331,tunt
3,Mio Harper soffa,kärnnamn,4000,6500,2000,5223,11500,24,weighted,type_system:text+union3,24.0,none,,"3-sits,4-sits",variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 24 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.80 på modellen).",low,True,True,0.0,övrigt
3,Mio Harper soffa,kärnnamn + bild,4000,6500,2000,5223,11500,24,weighted,type_system:text+union3,24.0,none,,"3-sits,4-sits",variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 24 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.80 på modellen).",low,True,True,0.0,övrigt
4,Jysk Egedal,kärnnamn,1000,2000,684,1061,1898,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
4,Jysk Egedal,kärnnamn + bild,1000,2000,684,1061,1898,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
5,Jysk Allese,kärnnamn,4000,6500,2274,3420,4966,12,none,unresolved,12.0,none,,,,,none,,,asking,"Baserat på 12 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 12 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.67 på modellen).",low,True,False,-0.145,tunt
5,Jysk Allese,kärnnamn + bild,4000,6500,2274,3420,4966,12,ignored,type_system:image+union3,12.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 12 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 12 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.67 på modellen). Möbeltypen bäddsoffa, hörnsoffa eller soffa gav för tunt underlag och ingår inte i beräkningen.",low,True,False,-0.145,tunt
6,Jysk fåtölj,kärnnamn,350,1000,500,700,1000,79,filtered,type_system:text,79.0,none,,,,['fatolj'],none,,,asking,Baserat på 79 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,True,0.0,övrigt
6,Jysk fåtölj,kärnnamn + bild,350,1000,500,700,1000,79,filtered,type_system:text,79.0,none,,,,['fatolj'],none,,,asking,Baserat på 79 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,True,0.0,övrigt
7,Swedese Lamino,kärnnamn,8500,12000,2920,7644,10695,24,none,unresolved,24.0,none,,,,,none,,,asking,"Baserat på 24 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 24 annonser av just den modellen, så priset är sammanvägt med 41 liknande annonser av samma märke och möbeltyp (vikt 0.80 på modellen).",low,True,False,-0.10070588235294117,övrigt
7,Swedese Lamino,kärnnamn + bild,8500,12000,1000,8750,20000,24,weighted,type_system:image+union2,15.8,none,,,variant,"['fatolj', 'stol']",none,,,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,övrigt
8,DUX Bruno Mathsson Eva,kärnnamn,3500,6500,3061,5638,7744,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 57 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt
8,DUX Bruno Mathsson Eva,kärnnamn + bild,3500,6500,2750,5500,6500,15,weighted,type_system:image+union2,13.5,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
9,Matbord trä,kärnnamn,3000,7000,1000,1440,4000,246,filtered,type_system:text+union2,246.0,none,,"150-200cm,250-300cm,100-150cm,200-250cm",,"['matbord', 'matgrupp']",none,,,asking_forced_unknown_identity,Baserat på 246 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matbord eller matgrupp.,low,True,False,-0.52,anonym
9,Matbord trä,kärnnamn + bild,3000,7000,330,880,2000,26,filtered,type_system:text+union2,18.1,none,,,,"['matbord', 'matgrupp']",none,,,visual_cohort,"Baserat på 26 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 13x, så priset bygger på 26 annonser som LIKNAR din bild (likhet 0.66–0.79). Bara 26 annonser av just den modellen, så priset är sammanvägt med 6677 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen). Endast matbord eller matgrupp.",low,False,False,-0.7066666666666667,anonym
10,Mio matgrupp,kärnnamn,3000,5000,2000,2500,3100,108,filtered,type_system:text,108.0,none,,,,['matgrupp'],none,,,asking,Baserat på 108 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,high,True,False,-0.16666666666666666,övrigt
