nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,confidence,träff_intervall,träff_default,avvikelse,felklass
1,IKEA Norsborg,kärnnamn,500,1000,411.0,837.0,3848.0,15,none,none,15.0,none,,,,,none,low,True,True,0.0,tunt
1,IKEA Norsborg,kärnnamn + bild,500,1000,411.0,876.0,4279.0,15,weighted,dinov2,11.2,none,,,variant,['soffa'],none,low,True,True,0.0,tunt
2,Bolia None,kärnnamn,8000,11000,1750.0,5000.0,20450.0,116,none,none,116.0,none,,"2-sits,5-sits,4-sits,3-sits,divan,6-sits",,,none,low,True,False,-0.375,övrigt
2,Bolia None,kärnnamn + bild,8000,11000,1000.0,5000.0,7000.0,65,filtered,dinov2,65.0,none,,"2-sits,5-sits,3-sits",,['soffa'],filtered,low,False,False,-0.375,övrigt
3,Mio Harper,kärnnamn,4000,6500,4000.0,6000.0,10500.0,53,none,none,53.0,none,,"3-sits,4-sits",,,none,low,True,True,0.0,övrigt
3,Mio Harper,kärnnamn + bild,4000,6500,2000.0,6000.0,11000.0,36,filtered,dinov2,21.2,none,,"3-sits,4-sits","bild,ledord",['soffa'],weighted,low,True,True,0.0,övrigt
4,Jysk Egedal,kärnnamn,1000,2000,684.0,1041.0,1736.0,15,none,none,15.0,none,,,,,none,low,True,True,0.0,tunt
4,Jysk Egedal,kärnnamn + bild,1000,2000,684.0,1123.0,4102.0,15,none,single_candidate,7.5,none,,,bild,,weighted,low,True,True,0.0,tunt
5,Jysk Allese,kärnnamn,4000,6500,2274.0,3347.0,4966.0,12,none,none,12.0,none,,,,,none,low,True,False,-0.16325,tunt
5,Jysk Allese,kärnnamn + bild,4000,6500,2274.0,3347.0,4966.0,12,none,single_candidate,12.0,none,,,,,none,low,True,False,-0.16325,tunt
6,Jysk None,kärnnamn,350,1000,550.0,700.0,1000.0,108,none,none,108.0,none,,,,,none,high,True,True,0.0,övrigt
6,Jysk None,kärnnamn + bild,350,1000,600.0,700.0,1000.0,70,filtered,dinov2,70.0,none,,,,['fåtölj'],filtered,high,True,True,0.0,övrigt
7,Swedese Lamino,kärnnamn,8500,12000,4000.0,4600.0,7046.0,206,none,none,206.0,none,,,,,none,high,False,False,-0.4588235294117647,övrigt
7,Swedese Lamino,kärnnamn + bild,8500,12000,3500.0,5250.0,8500.0,100,filtered,dinov2,30.2,none,,,bild,"['fåtölj', 'fotpall']",weighted,high,True,False,-0.38235294117647056,övrigt
8,DUX Eva,kärnnamn,3500,6500,4000.0,5000.0,6100.0,34,none,none,34.0,none,,,,,none,high,True,True,0.0,övrigt
8,DUX Eva,kärnnamn + bild,3500,6500,3800.0,5000.0,6750.0,30,filtered,dinov2,26.2,none,,,ledord,['fåtölj'],none,high,True,True,0.0,övrigt
9,None None,kärnnamn,3000,7000,300.0,800.0,6000.0,4996,none,none,4996.0,none,,"4 stolar,2 stolar,5 stolar,10 stolar,6 stolar,8 stolar,7 stolar,3 stolar,50-100cm,100-150cm,150-200cm,250-300cm,200-250cm,300-350cm",,,none,low,True,False,-0.7333333333333333,anonym
9,None None,kärnnamn + bild,3000,7000,194.0,607.0,2046.0,17,none,unresolved,12.9,none,,,,,filtered,low,False,False,-0.7976666666666666,anonym
10,Mio None,kärnnamn,3000,5000,583.0,1500.0,2500.0,234,none,none,234.0,none,,"6 stolar,8 stolar,4 stolar,3 stolar",,,none,low,False,False,-0.5,övrigt
10,Mio None,kärnnamn + bild,3000,5000,667.0,800.0,1333.0,60,none,single_candidate,60.0,none,,,,,filtered,high,False,False,-0.7333333333333333,övrigt
11,byCrea None,kärnnamn,5000,15000,,,,0,none,none,0.0,none,,,,,none,none,False,False,,tunt
11,byCrea None,kärnnamn + bild,5000,15000,,,,0,none,single_candidate,0.0,none,,,,,none,none,False,False,,tunt
12,DUX 303,kärnnamn,50000,80000,,,,0,none,none,0.0,none,,,,,none,none,False,False,,tunt
12,DUX 303,kärnnamn + bild,50000,80000,,,,0,none,single_candidate,0.0,none,,,,,none,none,False,False,,tunt
13,IKEA Skotterud,kärnnamn,1000,2500,1000.0,1500.0,2000.0,77,none,none,77.0,none,,,,,none,high,True,True,0.0,övrigt
13,IKEA Skotterud,kärnnamn + bild,1000,2500,700.0,1500.0,2400.0,40,none,single_candidate,26.5,none,,,ledord,,filtered,high,True,True,0.0,övrigt
