variant,label,similarity,a_row,b_row,a_model,b_model,a_size,b_size,a_source,b_source,a_url,b_url,a_name,b_name,label_detail
bord,olika_modell,0.0273,5088,65065,mogensen,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4808394_541b32c200.jpg,https://images.blocketcdn.se/dynamic/default/item/24587767/743c1c2b-d036-4666-9812-d307296e9c72,"BØRGE MOGENSEN. Soffbord, modell 261, ek, Fredericia Stolefabrik, Danmark, 1900-",Hemnes sekretär med skrivbord,olika_modell
bord,olika_modell,0.2213,8434,38435,mogensen,besta,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5106885_8c3d8258d0.jpg,https://images.blocketcdn.se/dynamic/default/item/23225203/bb91b155-26ea-4080-bec4-ea8d52fd32ab,"BØRGE MOGENSEN. Soffbord modell 350 för Fredericia Stolefabrik, Danmark, ek. Stä",IKEA Bestå Burs skrivbord / TV-bänk,olika_modell
bord,olika_modell,0.603,5251,94140,stockholm,superellips,,,auctionet,auctionet,https://images.auctionet.com/thumbs/mini_item_4959313_bc73e4e10f.jpg,https://images.auctionet.com/thumbs/mini_item_4237610_1e7c5d1be3.jpg,"Satsbord 2 delar, björk och masurbjörk. IKEA, ""Stockholm"", formgivna 1996. tomas","bord, ""Superellips"", skiva fanerad med masurbjörk, undertill etikettmärkt. bruno",olika_modell
bord,olika_modell,0.0132,5149,47565,berg,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5035813_1ef6a4a41a.jpg,https://images.blocketcdn.se/dynamic/default/item/24068363/ff738a3f-62fa-4c1a-8168-333222f6cb74,"Bord, ""Berg"", masurbjörk och björk. carl malmsten",Sminkbord från IKEA,olika_modell
bord,olika_modell,0.0839,39359,51049,besta,samsas,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/19161269/0beba59a-b895-4a61-91bb-dbda858b917b,https://images.blocketcdn.se/dynamic/default/item/24203761/eadbf215-800b-4694-a42e-c25be8c77cb8,Skrivbord Bestå burs ikea,Carl Malmsten Samsas bord,olika_modell
bord,olika_modell,0.0801,37758,52255,malm,pedrera,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24060781/4de0504a-8054-47dd-9ca7-4033e71b9f79,https://images.blocketcdn.se/dynamic/default/item/24366627/72da5683-7cac-4782-8e02-7276f09b8683,Malm Skrivbord (nyskick),GUBI Pedrera soffbord,olika_modell
bord,olika_modell,0.0706,35671,89066,besta,malm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24597615/318af98b-e0e2-4e8c-9bfe-942dc4e7192f,https://images.blocketcdn.se/dynamic/default/item/24729421/e4877bd2-2d62-42ba-9427-ce257ccdcde3,IKEA skrivbord bestå burs (120x40 cm,MALM bord,olika_modell
bord,olika_modell,0.194,94133,45442,lamino,besta,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4235167_2377f18f97.jpg,https://images.blocketcdn.se/dynamic/default/item/24591194/e91322f7-db4f-4c4b-89ae-cf482a00b578,"Sidobord, ""Lamino"", Swedese. yngve ekström",IKEA Bestå Burs blankvitt skrivbord med lådor,olika_modell
bord,olika_modell,0.1234,6734,43552,tulip,besta,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4907416_2838a46312.jpg,https://images.blocketcdn.se/dynamic/default/item/24604990/47b6fa08-e34c-4a9f-ac58-ae58a545d85c,"Sidobord, ""Tulip"", Knoll International, märkt i gjutgods under fot. eero saarine",Ikea Bestå Bjurs skrivbord vitt,olika_modell
bord,olika_modell,0.3562,94165,20790,lamino,kallax,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4556230_089c9bb989.jpg,https://images.blocketcdn.se/dynamic/default/item/24607024/59f6c854-7563-4d7c-847a-7d921fd961bf,"Sidobord, Bok, ""Lamino"", Swedese, Ett par. yngve ekström",Kontorsmöbler,olika_modell
bord,olika_modell,0.2842,94285,37105,samsas,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4617696_d90f97a2b8.jpg,https://images.blocketcdn.se/dynamic/default/item/24610045/c3272862-e5eb-4e56-8a1d-4925df9e1ab9,"Soffbord, fanerad björk, ""Samsas"", Åfors Möbelfrabrik, 1900-tal. carl malmsten",Vitt skrivbord Ikea Malm i mycket gott skick,olika_modell
