pair_id,variant,bucket,similarity,a_row,b_row,a_source,b_source,a_name,b_name,a_price,b_price,a_url,b_url
1,soffa,0.20-0.30,0.2905,35151,30839,blocket,blocket,Ikea Kivik 3 sits,Soffa Ikea Furudal furu 5 moduler design Gillis Lundgren IKEA 1983,800.0,3000.0,https://images.blocketcdn.se/dynamic/default/item/23542751/aa94ae0b-c2b5-4239-9972-0dfb0821458e,https://images.blocketcdn.se/dynamic/default/item/24207620/bacf10e0-8828-4c3a-8888-0fcdb5a872ca
2,soffa,0.20-0.30,0.2172,2492,25675,auctionet,blocket,"FÅTÖLJ, ""Seat up"", tillverkad av O.H. Sjögren, brickmärkt.",Rottinggrupp med klädsel,1600.0,5500.0,https://images.auctionet.com/thumbs/mini_item_4981321_55c88fe2cb.jpg,https://images.blocketcdn.se/dynamic/default/item/24142647/b6a9c811-deb1-4424-9123-d7e95318442a
3,soffa,0.20-0.30,0.245,88516,86675,blocket,blocket,"Soffa Coffee 2,5 sits",Brun utesoffa med svart metallstomme,1500.0,1000.0,https://images.blocketcdn.se/dynamic/default/item/24728037/e51d981a-2d7b-42b1-a1e2-6da680bbb845,https://images.blocketcdn.se/dynamic/default/item/23665954/fd675551-d13c-40a8-ad13-d1c8d723b1c2
4,soffa,0.20-0.30,0.293,11670,11642,auctionet,auctionet,"SOFFA, "" Visingsö "". carl malmsten","PINNSOFFA, trä, 1900-talets andra hälft.",1500.0,1101.0,https://images.auctionet.com/thumbs/mini_item_4823702_7b648ee103.jpg,https://images.auctionet.com/thumbs/mini_item_4966479_f0c0e0e9ba.jpg
5,soffa,0.20-0.30,0.2671,29335,7453,blocket,auctionet,Vacker soffa från 60-talet,"SOFFA, rokokostil, 1900-tal.",1000.0,1500.0,https://images.blocketcdn.se/dynamic/default/item/24354161/a9ba1195-1ba2-4991-be4c-622989b7cc48,https://images.auctionet.com/thumbs/mini_item_4907066_5363c0d9e2.jpg
6,soffa,0.30-0.45,0.3145,7381,720,auctionet,auctionet,"PINNSOFFA, möjligen Danmark, 1960-tal.","TABURETT, England, stoppad och skinnklädd sits, 1900-talets slit.",1772.0,2200.0,https://images.auctionet.com/thumbs/mini_item_4863803_cc1254f732.jpg,https://images.auctionet.com/thumbs/mini_item_4964061_4758c71871.jpg
7,soffa,0.30-0.45,0.4373,23069,31285,blocket,blocket,Jysk Egense beige 2-sits soffa,Kökssoffa/ Bänk/ Gammal möbel,1600.0,2300.0,https://images.blocketcdn.se/dynamic/default/item/24623907/942544c6-6794-4630-aa87-ddf18536fdca,https://images.blocketcdn.se/dynamic/default/item/21376491/816a4419-b4de-4afc-b03a-196a7e565295
8,soffa,0.30-0.45,0.3237,34782,35270,blocket,blocket,Röd soffa 3-sits med träben,Antik soffa,750.0,1000.0,https://images.blocketcdn.se/dynamic/default/item/23916769/c3a464fb-ecc4-4ff3-931a-3b1f37990b0d,https://images.blocketcdn.se/dynamic/default/item/23400239/f3476d28-8187-4ebd-ba2e-afddce75aa87
9,soffa,0.30-0.45,0.387,30344,31291,blocket,blocket,Rottinggrupp,Soffa - Dublin - från Slettvoll säljes,2500.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/24601263/49eaffd1-c94c-450d-90c1-202833d37a39,https://images.blocketcdn.se/dynamic/default/item/23529950/9767493d-b754-484d-9107-b2ddfdeecebb
10,soffa,0.30-0.45,0.3499,35298,12377,blocket,blocket,Stor rymlig soffa grå,Sammets soffa / fåtölj,2000.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/23369152/e2ea9ad7-a147-4b27-a6f3-271e34db4301,https://images.blocketcdn.se/dynamic/default/item/23559343/9d35a845-888e-4d7e-bc4d-0682b7aa9e52
11,soffa,0.45-0.60,0.5991,30277,31034,blocket,blocket,IKEA Kivik 3-sitssoffa,Soffa,2000.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/24637722/a34bbac9-fa3c-4785-b01c-2601fc317b99,https://images.blocketcdn.se/dynamic/default/item/17735670/9afb65b4-8149-429f-9754-638b1093dca1
