pair_id,a_row,b_row,similarity,variant,bucket,label,motivering,a_source,b_source,a_name,b_name
1,35151,30839,0.2905,soffa,0.20-0.30,olika,vit skinnsoffa mot vit/furu hörnsoffa,blocket,blocket,Ikea Kivik 3 sits,Soffa Ikea Furudal furu 5 moduler design Gillis Lundgren IKEA 1983
2,2492,25675,0.2172,soffa,0.20-0.30,olika,grå reclinerfåtölj mot gammal brun soffstomme,auctionet,blocket,"FÅTÖLJ, ""Seat up"", tillverkad av O.H. Sjögren, brickmärkt.",Rottinggrupp med klädsel
3,88516,86675,0.245,soffa,0.20-0.30,olika,grå tvåsits mot rotting-/metallbänk utomhus,blocket,blocket,"Soffa Coffee 2,5 sits",Brun utesoffa med svart metallstomme
4,11670,11642,0.293,soffa,0.20-0.30,olika,rosa tresits på hjul mot mörk träbänk,auctionet,auctionet,"SOFFA, "" Visingsö "". carl malmsten","PINNSOFFA, trä, 1900-talets andra hälft."
5,29335,7453,0.2671,soffa,0.20-0.30,olika,blommig soffa mot bänk med rottingrygg,blocket,auctionet,Vacker soffa från 60-talet,"SOFFA, rokokostil, 1900-tal."
6,7381,720,0.3145,soffa,0.30-0.45,olika,träbänk mot mörk läderpuff,auctionet,auctionet,"PINNSOFFA, möjligen Danmark, 1960-tal.","TABURETT, England, stoppad och skinnklädd sits, 1900-talets slit."
7,23069,31285,0.4373,soffa,0.30-0.45,olika,beige soffa i rum mot vitmålad dagbädd,blocket,blocket,Jysk Egense beige 2-sits soffa,Kökssoffa/ Bänk/ Gammal möbel
8,34782,35270,0.3237,soffa,0.30-0.45,olika,röd soffa i rum mot antik allmogesoffa,blocket,blocket,Röd soffa 3-sits med träben,Antik soffa
9,30344,31291,0.387,soffa,0.30-0.45,olika,blommig rottinggrupp mot ljusgrå modern soffa,blocket,blocket,Rottinggrupp,Soffa - Dublin - från Slettvoll säljes
10,35298,12377,0.3499,soffa,0.30-0.45,osäker,stor grå modulsoffa mot enstaka mörkgrå modul - kan vara samma system,blocket,blocket,Stor rymlig soffa grå,Sammets soffa / fåtölj
