bench,nr,möbel,kant,pris,orsak,rubrik
11,1,IKEA Ektorp,dyrast,8000.0,bunt,Ikea Ektorp hörnsoffa 4 sits och Ektorp fotölj med fotpall
11,1,IKEA Ektorp,dyrast,5999.0,bunt,"Soffa och fåtölj, Ikea Ektorp"
11,1,IKEA Ektorp,dyrast,5500.0,sektion,Helt ny IKEA Ektorp 3-sits med schäslong
11,1,IKEA Ektorp,dyrast,5200.0,bunt,"Soffa Kivik och fotpall Ektorp, grön"
11,1,IKEA Ektorp,dyrast,5000.0,bunt,Hörnsoffa/Bäddsoffa Ektorp Ikea
11,1,IKEA Ektorp,billigast,100.0,tillbehör,Ektorp fåtölj klädsel
11,1,IKEA Ektorp,billigast,150.0,tillbehör,Ikea Ektorp Fåtölj med avtagbar klädsel.
11,1,IKEA Ektorp,billigast,150.0,tillbehör,IKEA Ektorp fåtölj vit klädsel
11,1,IKEA Ektorp,billigast,150.0,sektion,schäslong Ikea Ektorp
11,1,IKEA Ektorp,billigast,150.0,sektion,Schäslong Ektorp Ikea
11,2,IKEA Söderhamn bäddsoffa,dyrast,14500.0,typmotsägelse,"Söderhamn soffa, Finnsta vit från Ikea"
11,2,IKEA Söderhamn bäddsoffa,dyrast,14000.0,typmotsägelse,IKEA Söderhamn soffa
11,2,IKEA Söderhamn bäddsoffa,dyrast,14000.0,typmotsägelse,U soffa Stor Ikea Dubai Söderhamn
11,2,IKEA Söderhamn bäddsoffa,dyrast,13000.0,typmotsägelse,Ikea Söderhamn soffa
11,2,IKEA Söderhamn bäddsoffa,dyrast,12500.0,typmotsägelse,Söderhamn Soffa Ikea
11,2,IKEA Söderhamn bäddsoffa,billigast,50.0,sektion,Divan/schäslong Ikea Söderhamn
11,2,IKEA Söderhamn bäddsoffa,billigast,50.0,tillbehör,Ikea Söderhamn kuddar
11,2,IKEA Söderhamn bäddsoffa,billigast,62.0,tillbehör,IKEA soffben (Söderhamn mm)
11,2,IKEA Söderhamn bäddsoffa,billigast,100.0,typmotsägelse,Armstöd till soffa IKEA Söderhamn
11,2,IKEA Söderhamn bäddsoffa,billigast,100.0,sektion,Armstöd Ikea Söderhamn
11,3,IKEA Vimle,dyrast,15000.0,bunt,IKEA VIMLE Hörnsoffa + BESTÅ TV-bänk | Mycket fint skick | Paketpris 15 000
11,3,IKEA Vimle,dyrast,15000.0,bunt,IKEA Vimle Soffa + Fåtölj i skinn - Grann/Bomstad Svart
11,3,IKEA Vimle,dyrast,12000.0,bunt,Soffa Vimle Ikea + pall med förvaring
11,3,IKEA Vimle,dyrast,11000.0,bunt,"IKEA vimle soffa 4-sits, bäddsoffa + förvaring"
11,3,IKEA Vimle,dyrast,11000.0,bunt,"IKEA vimle soffa 4-sits, bäddsoffa + förvaring"
11,3,IKEA Vimle,billigast,100.0,sektion,"VIMLE IKEA -soffa, moduler -hörnmodul + en-sits"
11,3,IKEA Vimle,billigast,300.0,sektion,IKEA Vimle schäslong
11,3,IKEA Vimle,billigast,300.0,sektion,"Ikea Vimle, 2-sists sektion"
11,3,IKEA Vimle,billigast,350.0,sektion,Ikea VIMLE armstöd x2
