cell,n,spread,kant,pris,rubrik
|okand|dokument,26,1136.4,dyrast,149000.0,"Helt lager Kassaskåp, värde-, dokument mm-95 st -50-85%"
|okand|dokument,26,1136.4,dyrast,125000.0,"Helt lager Kassaskåp, värde-, dokument -90st -ca 90% rabat"
|okand|dokument,26,1136.4,dyrast,125000.0,"Helt lager Kassaskåp, värde-, dokument -90st ca 90% rabatt"
|okand|dokument,26,1136.4,dyrast,99000.0,"Helt lager Kassaskåp, värde, dokument -80st ca 95% rabatt"
|okand|dokument,26,1136.4,dyrast,99000.0,"Kassaskåp, värde-, dokument -Lager ev AB -80st ca 95%rabat"
|okand|dokument,26,1136.4,billigast,20.0,Dokument sorterare
|okand|dokument,26,1136.4,billigast,100.0,Förvaringslådor och tidskriftssamlare i beige textil. Kontoret.Dokument.Papper
|okand|dokument,26,1136.4,billigast,140.0,Dokument förvaring
|okand|dokument,26,1136.4,billigast,300.0,Dokument förstörare
|okand|dokument,26,1136.4,billigast,500.0,"Dokument, verktygsskåp"
|okand|liter,42,523.8,dyrast,52375.0,BETONGBLANDARE 800 liter - Hydraulisk med Pallgaffelställ
|okand|liter,42,523.8,dyrast,52375.0,BETONGBLANDARE 800 liter - Hydraulisk med Pallgaffelställ
|okand|liter,42,523.8,dyrast,52375.0,BETONGBLANDARE 800 liter - Hydraulisk med Pallgaffelställ
|okand|liter,42,523.8,dyrast,52375.0,BETONGBLANDARE 800 liter - Hydraulisk med Pallgaffelställ
|okand|liter,42,523.8,dyrast,23500.0,Frysskåp Gamma 250 SN CA – 1028 liter
|okand|liter,42,523.8,billigast,10.0,Flyttlådor Large 75 liter
|okand|liter,42,523.8,billigast,65.0,Pedalhink (8 liter)
|okand|liter,42,523.8,billigast,100.0,Pedalhink 3 liter
|okand|liter,42,523.8,billigast,100.0,Sänglåda med hjul och lock 55 liter 78x49x20 cm
|okand|liter,42,523.8,billigast,116.0,"antik art deco munblåst kanna med etsat motiv blommor 0,65 liter"
|okand|piano,21,320.0,dyrast,36000.0,Piano / Flygel - Spegelblank Chippendale
|okand|piano,21,320.0,dyrast,32000.0,Piano / Flygel - Spegelblank Chippendale
|okand|piano,21,320.0,dyrast,7000.0,fåtöljen piano
|okand|piano,21,320.0,dyrast,4750.0,"Piano Sauter, 60-tals möbel"
|okand|piano,21,320.0,dyrast,4000.0,Unikt Cremona Piano Bar i svart trä handmade
|okand|piano,21,320.0,billigast,100.0,Fint Malmsjö Piano Bortskänkes.
|okand|piano,21,320.0,billigast,100.0,Piano bortskänktes
|okand|piano,21,320.0,billigast,100.0,piano skänkes
|okand|piano,21,320.0,billigast,100.0,piano och sminkbord
|okand|piano,21,320.0,billigast,250.0,"PIANO/VERKSTADSPALL, nyrenässans."
|okand|bords,27,249.0,dyrast,36000.0,bords ljusstakar empire
|okand|bords,27,249.0,dyrast,25500.0,"Helt nytt köks bords, hand byggd av bordsherren( Stigtomta)"
|okand|bords,27,249.0,dyrast,4900.0,Ett par Luxus Trombo Bords / Fönsterlampor med glasfot
|okand|bords,27,249.0,dyrast,1599.0,Bords fotogenlampa för salong 1890-tal i Mässing o Glas
|okand|bords,27,249.0,dyrast,1000.0,Bords utemöbler
|okand|bords,27,249.0,billigast,64.0,Bords/ trädgårdsdekorationer i plåt var. färger/ storle
|okand|bords,27,249.0,billigast,68.0,2 st bords/fönsterlampor som nya
|okand|bords,27,249.0,billigast,100.0,bords skiva
|okand|bords,27,249.0,billigast,130.0,Retro/ vintage röd FM bords radio i 50-talsstil
|okand|bords,27,249.0,billigast,144.0,bords lammpor
|okand|ugn,20,221.5,dyrast,259900.0,Cabby 740 Caienna 2014 Skinnsoffa Tvärställd Queensbed Ugn
|okand|ugn,20,221.5,dyrast,65000.0,Bagari och multiplikation ugn 3Deck +Jässkåp
|okand|ugn,20,221.5,dyrast,62500.0,"Kylbänkar/-skåp, juicepress, ugn m.m."
|okand|ugn,20,221.5,dyrast,24995.0,Helt Kök! köksskåp Spishäll Ugn Micro
|okand|ugn,20,221.5,dyrast,15000.0,"Gaggenau ugn, mikro och fläkt med vit köksinredning samt Siemens häll"
|okand|ugn,20,221.5,billigast,100.0,Campingstolar/UGN
|okand|ugn,20,221.5,billigast,350.0,Bänkspis med ugn
|okand|ugn,20,221.5,billigast,400.0,"Bänkspis, ugn av märket Waves"
|okand|ugn,20,221.5,billigast,420.0,Fasett bänkspis med ugn.
|okand|ugn,20,221.5,billigast,480.0,Bänkspis med ugn
|okand|marbodal,81,220.0,dyrast,49000.0,"Utställningskök - Köksö med bänkskiva i komposit, Marbodal"
|okand|marbodal,81,220.0,dyrast,43290.0,Marbodal - Skjutdörrsgarderob valnöt utställning
|okand|marbodal,81,220.0,dyrast,35000.0,Utställning Marbodal Form Hav
|okand|marbodal,81,220.0,dyrast,29995.0,MARBODAL PREMIUMKÖK M. ACACIABÄNKSKIVOR HUSQVARNA VITVAROR
|okand|marbodal,81,220.0,dyrast,22000.0,Marbodal utställningsex. skjutdörrsgarderob med inredning
|okand|marbodal,81,220.0,billigast,40.0,Handtag Marbodal
|okand|marbodal,81,220.0,billigast,70.0,Köksluckor Marbodal Ballingslöv Vita Spegelram
|okand|marbodal,81,220.0,billigast,75.0,Köksluckor Marbodal Ballingslöv Vita Spegelram
|okand|marbodal,81,220.0,billigast,100.0,Marbodal köksskåp front
|okand|marbodal,81,220.0,billigast,100.0,Marbodal garderobsinredning
|okand|akvarium,35,200.1,dyrast,20000.0,akvarium möbel 720l
|okand|akvarium,35,200.1,dyrast,12345.0,Aquael Akvarium Med Möbel Säljes
|okand|akvarium,35,200.1,dyrast,9000.0,Akvarium ca 750l inkl möbel
|okand|akvarium,35,200.1,dyrast,8500.0,Akvarium 720 l inkl akvariebänk.
|okand|akvarium,35,200.1,dyrast,6800.0,Red Sea Reefer 250L V3 Vit Akvarium/Sump/Möbel/Returpump
|okand|akvarium,35,200.1,billigast,50.0,Fin snäcka heminredning akvarium kägelsnäcka
|okand|akvarium,35,200.1,billigast,50.0,Stor snäcka för inredning akvarium leopardkägelsnäcka
|okand|akvarium,35,200.1,billigast,50.0,Vacker snäcka heminredning akvarium snäckskal
|okand|akvarium,35,200.1,billigast,200.0,"AKVARIUM samt möbel, hörnmodell."
