benchmark,nr,möbel,facit_low,facit_high,n,default_nu,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
11 första,1,IKEA Ektorp,400,900,124,1000.0,300.0,350.0,500.0,500.0,700.0,800.0,850.0,1000.0,1000.0,1200.0,1500.0,1500.0,1900.0,2000.0,2200.0,2500.0,2800.0,3500.0,4000.0
11 första,2,IKEA Söderhamn bäddsoffa,2000,2500,269,2200.0,700.0,1000.0,1200.0,1500.0,1500.0,1900.0,2000.0,2200.0,2500.0,2500.0,2900.0,3000.0,3500.0,3500.0,3900.0,4000.0,5000.0,6000.0,6900.0
11 första,3,IKEA Vimle,1500,3000,103,3000.0,500.0,500.0,1000.0,1500.0,2000.0,2200.0,2995.0,3000.0,3200.0,3667.0,4000.0,4000.0,4995.0,5000.0,6000.0,6500.0,7000.0,8000.0,9500.0
11 första,4,Mio Cordelia,1500,3000,11,2850.0,1300.0,1750.0,1750.0,1900.0,1900.0,2600.0,2600.0,2850.0,2850.0,2890.0,2900.0,2900.0,3999.0,3999.0,4500.0,4500.0,7700.0,7700.0,9000.0
11 första,5,IKEA Jennylund,200,700,15,250.0,150.0,150.0,150.0,150.0,200.0,200.0,200.0,250.0,250.0,400.0,400.0,500.0,500.0,500.0,600.0,600.0,600.0,600.0,1600.0
11 första,6,IKEA Strandmon,1000,2000,67,1000.0,300.0,400.0,500.0,500.0,667.0,750.0,900.0,1000.0,1000.0,1100.0,1200.0,1400.0,1500.0,1500.0,1800.0,1999.0,2000.0,2500.0,2700.0
11 första,7,Sofacompany Clara,7000,10000,2,7500.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
11 första,8,Sweef Valen 224,7000,12000,15,8642.0,6000.0,6000.0,7000.0,8000.0,8000.0,9000.0,9000.0,10000.0,10000.0,11990.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12499.0,12499.0,12500.0
11 första,9,Mio Santos,700,1000,24,1000.0,225.0,300.0,500.0,625.0,800.0,800.0,917.0,1000.0,1000.0,1000.0,1440.0,1500.0,1900.0,2000.0,2500.0,2900.0,3100.0,4490.0,4500.0
11 första,10,IKEA PINNTORP,600,800,15,500.0,80.0,200.0,300.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,600.0,700.0,700.0,800.0,900.0,950.0,950.0,995.0,1000.0
11 första,11,Kinnarps Capella X,1300,1600,3,1480.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4995.0,4995.0,4995.0,4995.0,4995.0,4995.0
benchmark 1,1,Mio Town,7000,12000,34,6500.0,800.0,4000.0,4500.0,5000.0,5500.0,5999.0,6000.0,6500.0,7000.0,7500.0,7899.0,7900.0,7999.0,9900.0,10000.0,11000.0,11995.0,14000.0,17000.0
benchmark 1,2,Mio Saturday,3000,6000,15,5495.0,3500.0,4800.0,6500.0,6500.0,6699.0,7000.0,7000.0,7000.0,7900.0,7900.0,8000.0,9000.0,9000.0,9000.0,10000.0,11900.0,11900.0,13897.0,25000.0
benchmark 1,3,Mio Bridge,3500,7000,24,3776.0,2000.0,3000.0,3000.0,3500.0,3500.0,3500.0,4000.0,4000.0,4000.0,4500.0,5000.0,5000.0,5500.0,6000.0,6000.0,6499.0,6799.0,6990.0,7000.0
benchmark 1,4,IKEA karlstrand,500,2000,0,,,,,,,,,,,,,,,,,,,,
