truth_base,truth_type,token,price_kind,blocked,image_share,blind text|type,blind text|base,blind text|source,blind text|kronor,blind text|ratio,text+prior|type,text+prior|base,text+prior|source,text+prior|kronor,text+prior|ratio,bild (familj)|type,bild (familj)|base,bild (familj)|source,bild (familj)|kronor,bild (familj)|ratio,text+prior+bild|type,text+prior+bild|base,text+prior+bild|source,text+prior+bild|kronor,text+prior+bild|ratio,gammal platt klassificerare|type,gammal platt klassificerare|kronor,gammal platt klassificerare|ratio
bord,matbord,6st,asking,1,0.897,,,,,,,,,,,bord,bord,image,16.0,0.9725557461406518,bord,bord,image,16.0,0.9725557461406518,matbord,0.0,1.0
bord,bord,symaskinsunderrede,asking,1,0.942,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,vagghangda,asking,1,0.35,,,,,,,,,,,,,,,,,,,,,okänd,,
bord,matbord,ilaggsskivor,realized,1,1.0,,,,,,,,,,,bord,bord,image,1500.0,0.4642857142857143,bord,bord,image,1500.0,0.4642857142857143,matbord,0.0,1.0
bord,matgrupp,uteplats,asking,1,0.84,,,,,,sang,sang,prior,133.0,1.199400299850075,bord,bord,image,104.5,0.843328335832084,sang,sang,prior,133.0,1.199400299850075,matgrupp,0.0,1.0
bord,soffbord,fritz,asking,1,1.0,,,,,,stol,stol,prior,1584.0,0.5341176470588235,bord,bord,image,1600.0,1.4705882352941178,stol,stol,prior,1584.0,0.5341176470588235,bord,1600.0,1.4705882352941178
bord,bord,slattum,asking,1,0.889,,,,,,sang,sang,prior,,,sang,sang,image,,,sang,sang,prior,,,säng,,
bord,bord,sminkbord,asking,3,0.922,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,spegel,0.0,1.0
bord,soffbord,besta,asking,1,0.943,,,,,,forvaring,forvaring,prior,,,bord,bord,image,,,forvaring,forvaring,prior,,,bord,,
bord,bord,telefonbord,realized,1,0.972,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,byrå,,
bord,bord,betsad,realized,1,0.569,,,,,,,,,,,,,,,,,,,,,okänd,,
bord,matbord,fritz,asking,1,0.794,,,,,,stol,stol,prior,4184.0,0.30266666666666664,bord,bord,image,1000.0,0.8333333333333334,stol,stol,prior,4184.0,0.30266666666666664,matgrupp,1000.0,1.1666666666666667
bord,skrivbord,engelskt,asking,1,0.657,,,,,,bord,bord,prior,2000.0,0.42857142857142855,,,,,,bord,bord,prior,2000.0,0.42857142857142855,stol,,
bord,sidobord,vidaxl,asking,1,0.95,,,,,,,,,,,bord,bord,image,96.0,1.271186440677966,bord,bord,image,96.0,1.271186440677966,bord,96.0,1.271186440677966
bord,soffbord,glasskiva,asking,1,0.79,,,,,,,,,,,bord,bord,image,250.0,0.6666666666666666,bord,bord,image,250.0,0.6666666666666666,bord,250.0,0.6666666666666666
bord,soffbord,bolia,asking,1,0.975,,,,,,,,,,,bord,bord,image,500.0,0.8571428571428571,bord,bord,image,500.0,0.8571428571428571,bord,500.0,0.8571428571428571
bord,soffbord,jakaranda,asking,1,1.0,,,,,,,,,,,bord,bord,image,400.0,0.7333333333333333,bord,bord,image,400.0,0.7333333333333333,bord,400.0,0.7333333333333333
bord,matgrupp,ovalt,asking,1,0.972,,,,,,bord,bord,prior,75.0,1.15,bord,bord,image,75.0,1.15,bord,bord,prior,75.0,1.15,matgrupp,0.0,1.0
bord,soffbord,unikt,asking,1,0.975,,,,,,,,,,,bord,bord,image,500.0,0.8333333333333334,bord,bord,image,500.0,0.8333333333333334,bord,500.0,0.8333333333333334
bord,bord,birgitta,realized,1,0.95,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,skrivbord,100x48,asking,1,0.97,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,skrivbord,korsbar,realized,1,1.0,,,,,,,,,,,bord,bord,image,1900.0,0.4722222222222222,bord,bord,image,1900.0,0.4722222222222222,bord,1900.0,0.4722222222222222
bord,skrivbord,lador,asking,1,0.749,,,,,,forvaring,forvaring,prior,25.0,1.0357142857142858,bord,bord,image,0.0,1.0,forvaring,forvaring,prior,25.0,1.0357142857142858,bord,0.0,1.0
bord,sidobord,marmorlook,asking,1,0.95,,,,,,,,,,,bord,bord,image,50.0,1.1428571428571428,bord,bord,image,50.0,1.1428571428571428,bord,50.0,1.1428571428571428
bord,sidobord,alsterbro,realized,1,1.0,,,,,,,,,,,bord,bord,image,50.0,1.2,bord,bord,image,50.0,1.2,bord,50.0,1.2
