attribute,truth,predicted,raw,abstained,confidence,evidence,method,mode,model,attempts,error,tokens,seconds,name_norm,price,price_kind,search_blob
corner,False,False,nej,False,hog,Soffan är rak och har ingen vinkel som bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,1814.0,3.68,hay silhouette 3-sits soffa morkbla,15000.0,asking,hay silhouette 3-sits soffa morkbla hay hay silhouette 3-sits soffa morkbla soffa
corner,False,False,nej,False,hog,Soffan är en rak soffa och har ingen hörnsektion.,svar,edge,google/gemini-2.5-flash,1.0,,2346.0,1.88,"soffa fran mio, maddison tresits.",3000.0,asking,"soffa fran mio, maddison tresits. mio soffa fran mio, maddison tresits. soffa"
corner,False,False,nej,False,hog,"Soffan är rak, inte L-formad.",svar,edge,google/gemini-2.5-flash,1.0,,2284.0,1.84,"sweef 2,5 sits",5000.0,asking,"sweef 2,5 sits sweef sweef 2,5 sits soffa"
corner,False,False,nej,False,hog,"Soffan är rak, inte L-formad.",svar,edge,google/gemini-2.5-flash,1.0,,1827.0,1.57,"howardsoffa, 3-sits, 2 st pallar, 2000-tal.",500.0,realized,"howardsoffa, 3-sits, 2 st pallar, 2000-tal. howardsoffa, 3-sits, 2 st pallar, 2000-tal."
corner,False,False,nej,False,hog,Soffan är rak.,svar,edge,google/gemini-2.5-flash,1.0,,2318.0,1.76,gron soffa 3-sits tyg,1000.0,asking,gron soffa 3-sits tyg gron soffa 3-sits tyg soffa
corner,False,False,nej,False,hog,"Soffan är rak, har ingen sektion som viker av i 90 grader.",svar,edge,google/gemini-2.5-flash,1.0,,2332.0,1.64,ikea soffa gra 3-sits aage petersen design,1000.0,asking,ikea soffa gra 3-sits aage petersen design ikea ikea soffa gra 3-sits aage petersen design soffa
corner,False,False,nej,False,hog,Soffan är rak och viker inte av i en hörnsektion.,svar,edge,google/gemini-2.5-flash,1.0,,2344.0,1.83,hay can sofa 3-sits designsoffa (morkbla) fint skick,2500.0,asking,hay can sofa 3-sits designsoffa (morkbla) fint skick hay hay can sofa 3-sits designsoffa (morkbla) fint skick
corner,False,False,nej,False,hog,Soffan är rak och bildar inget L.,svar,edge,google/gemini-2.5-flash,1.0,,2325.0,1.88,ikea gronlid 3-sitssoffa,5000.0,asking,ikea gronlid 3-sitssoffa ikea ikea gronlid 3-sitssoffa gronlid soffa
corner,False,False,nej,False,hog,Soffan är rak och bildar inget L.,svar,edge,google/gemini-2.5-flash,1.0,,1759.0,1.49,"soffa, 2-sits, 1900-tal.",400.0,realized,"soffa, 2-sits, 1900-tal. soffa, 2-sits, 1900-tal. soffa 1900-tal"
corner,False,False,nej,False,hog,Soffan är rak och bildar inget L.,svar,edge,google/gemini-2.5-flash,1.0,,2275.0,1.92,soffa mio rossi 3 sits xl,6000.0,asking,soffa mio rossi 3 sits xl mio soffa mio rossi 3 sits xl soffa
corner,False,True,ja,False,hog,Soffan har en hörnsektion där sitsen viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2278.0,1.38,vit 3-sits soffa med avtagbar kladsel,6500.0,asking,vit 3-sits soffa med avtagbar kladsel vit 3-sits soffa med avtagbar kladsel soffa
corner,False,False,nej,False,hog,Soffan har en rak form och ingen del som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2345.0,1.81,"ekholma 3-sitssoffa i ""hakebo"" beige farg",2800.0,asking,"ekholma 3-sitssoffa i ""hakebo"" beige farg ikea ekholma 3-sitssoffa i ""hakebo"" beige farg"
corner,False,False,nej,False,hog,Soffan är rak och saknar en hörnsektion som viker av.,svar,edge,google/gemini-2.5-flash,1.0,,1818.0,1.92,mio county soffa 3-sits gra,2000.0,asking,mio county soffa 3-sits gra mio mio county soffa 3-sits gra soffa
corner,False,False,nej,False,hog,"Soffan är rak, inte L-formad.",svar,edge,google/gemini-2.5-flash,1.0,,2288.0,1.58,svart tvasitsig ladersoffa,300.0,asking,svart tvasitsig ladersoffa mio svart tvasitsig ladersoffa lader soffa
corner,False,False,nej,False,hog,Soffan ar rak och har ingen vinkel som bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,0.0,0.0,"soffa, 3-sits, skinn, natuzzi editions, italien.",1000.0,realized,"soffa, 3-sits, skinn, natuzzi editions, italien. soffa, 3-sits, skinn, natuzzi editions, italien. skinn soffa"
corner,False,False,nej,False,hog,Soffan är rak och bildar ingen L-form. En separat divan står bredvid.,svar,edge,google/gemini-2.5-flash,1.0,,2348.0,1.95,howard 3-sits soffa + lyxig fotpall fyndpris!,2500.0,asking,howard 3-sits soffa + lyxig fotpall fyndpris! howard 3-sits soffa + lyxig fotpall fyndpris! soffa
corner,False,False,nej,False,hog,Soffan har ingen hörnsektion. Den är helt rak.,svar,edge,google/gemini-2.5-flash,1.0,,2277.0,1.69,ikea fridhult 2-sits baddsoffa,650.0,asking,ikea fridhult 2-sits baddsoffa ikea ikea fridhult 2-sits baddsoffa
corner,False,False,nej,False,hog,Soffan är rak och bildar inget L.,svar,edge,google/gemini-2.5-flash,1.0,,2261.0,1.51,ikea kivik 3-sits soffa,1700.0,asking,ikea kivik 3-sits soffa ikea ikea kivik 3-sits soffa kivik soffa
corner,False,,,False,,,ingen_bild,,,,,,,"3 sitssoffa vimle, gunnared beige",3000.0,asking,"3 sitssoffa vimle, gunnared beige ikea 3 sitssoffa vimle, gunnared beige vimle"
corner,False,False,nej,False,hog,"Soffan är rak, har ingen hörnsektion.",svar,edge,google/gemini-2.5-flash,1.0,,1768.0,1.5,"soffa, 2-sits, 2000-tal.",300.0,realized,"soffa, 2-sits, 2000-tal. soffa, 2-sits, 2000-tal. soffa"
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2339.0,1.83,hudson hornsoffa beige,14000.0,asking,hudson hornsoffa beige mio hudson hornsoffa beige
corner,True,True,ja,False,hog,Soffan viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2272.0,1.52,mio hornsoffa tyg,4000.0,asking,mio hornsoffa tyg mio mio hornsoffa tyg divan
corner,True,True,ja,False,hog,Bilden på kartongen visar en uppblåsbar soffa som bildar ett L med sitsen som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,1809.0,2.1,intex uppblasbar hornsoffa beige,900.0,asking,intex uppblasbar hornsoffa beige intex uppblasbar hornsoffa beige
corner,True,True,ja,False,hog,Soffan är L-formad med en tydlig hörnsektion där sitsen viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,1816.0,1.61,hornsoffa,7000.0,asking,hornsoffa ikea hornsoffa
corner,True,False,nej,False,hog,"Soffan har en U-form, men ingen av sektionerna viker av i 90 grader för att bilda ett L.",svar,edge,google/gemini-2.5-flash,1.0,,2366.0,1.96,ny gra u-soffa fran chilli kvitto finns,13000.0,asking,ny gra u-soffa fran chilli kvitto finns ny gra u-soffa fran chilli kvitto finns soffa
corner,True,True,ja,False,hog,Sitsen viker av i 90 grader och bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,2328.0,1.89,vimle hornsektion,400.0,asking,vimle hornsektion ikea vimle hornsektion vimle soffa
