query,truth,n_off,n_on,default_off,default_on,method_off,method_on,variant_on
sybord,bord,34,32,375.0,480.0,weighted,filtered,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
hauga,byra,56,56,500.0,600.0,none,weighted,"['byra', 'hylla', 'skank', 'vitrin']"
3-ladig,byra,15,15,636.0,700.0,none,weighted,['byra']
forvaring,skank,2126,2126,450.0,450.0,none,none,None
sekelskiftet,vitrin,26,26,650.0,650.0,none,none,None
alexandra,sanggavel,15,15,570.0,570.0,none,none,None
bokskap,forvaring,22,22,1948.0,4500.0,weighted,weighted,['vitrin']
trofast,hylla,48,48,350.0,300.0,none,weighted,['hylla']
lisabo,matbord,105,91,700.0,700.0,none,filtered,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
nevada,soffa,56,53,3000.0,3000.0,none,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
enkelt,matbord,15,15,260.0,260.0,none,none,None
platsa,forvaring,74,74,800.0,500.0,none,weighted,"['byra', 'hylla', 'skank', 'vitrin']"
kontinentalsang,sang,551,546,4000.0,4000.0,none,filtered,['sang']
satsbord,soffbord,143,46,500.0,600.0,filtered,filtered,"['soffbord', 'matgrupp']"
mojligen,fatolj,15,15,627.0,627.0,none,none,None
barnsang,sang,269,268,500.0,500.0,none,filtered,['sang']
karin,fatolj,32,32,5900.0,5000.0,none,weighted,"['fatolj', 'stol']"
carpati,sanggavel,39,39,500.0,500.0,none,none,None
senare,fotpall,15,15,636.0,636.0,none,none,None
forvaringsbank,fotpall,41,41,400.0,400.0,none,none,None
essem,hylla,76,73,600.0,600.0,none,filtered,['hylla']
soderhamn,hornsoffa,337,284,2000.0,2500.0,none,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
jugend,forvaring,90,90,700.0,700.0,none,none,None
pax,forvaring,375,375,1000.0,1000.0,none,weighted,['hylla']
sent,skrivbord,73,73,700.0,700.0,none,none,None
hog,hornsoffa,1047,1047,700.0,700.0,none,none,None
travertinskiva,bord,1,1,752.0,816.0,none,ignored,"['soffbord', 'matgrupp']"
nostalgi,hylla,24,24,826.0,661.0,none,weighted,['hylla']
louis,skank,51,51,2000.0,2000.0,none,none,None
akta,hornsoffa,275,275,1500.0,1500.0,none,none,None
puffer,fotpall,23,23,866.0,866.0,none,weighted,['fotpall']
hillerstorp,matgrupp,98,98,1000.0,1000.0,none,none,None
bank,skank,4418,4418,500.0,500.0,none,none,None
fjallbo,soffbord,60,60,500.0,500.0,none,none,None
spegeldorr,spegel,63,63,950.0,1000.0,weighted,weighted,['spegel']
klaffbord,matgrupp,141,201,600.0,600.0,filtered,filtered,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
sminkbord,skrivbord,175,69,500.0,400.0,filtered,filtered,"['skrivbord', 'matgrupp']"
hoppekids,sang,15,15,820.0,1000.0,none,weighted,['sang']
thonet,stol,55,44,750.0,750.0,none,filtered,"['fatolj', 'stol']"
jysk,baddsoffa,2617,2617,500.0,500.0,none,none,None
marslev,baddsoffa,15,15,2161.0,2313.0,none,weighted,"['baddsoffa', 'hornsoffa', 'soffa']"
jugend,matgrupp,90,90,700.0,700.0,none,none,None
arild,skank,15,15,1908.0,1908.0,none,none,None
utemobel,matgrupp,130,130,1200.0,1200.0,none,none,None
databord,skrivbord,30,30,300.0,350.0,weighted,weighted,"['skrivbord', 'matgrupp']"
posh,sidobord,56,56,3000.0,3000.0,none,none,None
konstrotting,hornsoffa,469,469,700.0,700.0,none,none,None
karmstolar,stol,204,198,500.0,500.0,filtered,filtered,['stol']
90x90,soffbord,25,25,579.0,599.0,none,weighted,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
ektorp,fotpall,215,164,800.0,1000.0,none,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
broderna,soffa,136,136,2750.0,2750.0,none,none,None
dansk,hylla,226,226,2000.0,2000.0,none,none,None
ram,forvaring,1117,1117,500.0,500.0,none,none,None
1950-tal,byra,153,153,850.0,850.0,none,none,None
skinnsoffa,soffa,252,267,1300.0,1500.0,filtered,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
vitrindorr,vitrin,51,31,300.0,250.0,none,filtered,['vitrin']
kerstin,soffbord,15,15,1237.0,1237.0,none,none,None
2-sits,soffa,488,823,1000.0,1500.0,filtered,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
hem,matbord,935,935,680.0,680.0,none,none,None
ekbord,bord,88,156,900.0,583.0,filtered,filtered,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
unikt,sidobord,151,151,1800.0,1800.0,none,none,None
arild,fotpall,15,15,1908.0,1908.0,none,none,None
vimle,baddsoffa,136,121,2500.0,3000.0,none,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
bolia,baddsoffa,330,330,2500.0,2500.0,none,none,None
barn,skrivbord,1208,1208,300.0,300.0,none,none,None
90-sang,sanggavel,179,215,500.0,600.0,filtered,filtered,['sang']
betsad,vitrin,75,75,500.0,500.0,none,none,None
jugend,soffbord,90,90,700.0,700.0,none,none,None
nordli,byra,167,167,1000.0,1000.0,none,none,None
leverans,hornsoffa,222,222,2750.0,2750.0,none,none,None
barbord,matgrupp,108,328,500.0,567.0,filtered,filtered,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
louis,vitrin,51,51,2000.0,2000.0,none,none,None
linden,matbord,15,15,2590.0,2590.0,none,none,None
golvspegel,spegel,19,19,280.0,280.0,weighted,weighted,['spegel']
yngve,fatolj,44,44,2750.0,2500.0,none,weighted,"['fatolj', 'stol']"
saccosack,fotpall,66,66,400.0,400.0,none,none,None
1960-tal,soffbord,184,184,1250.0,1250.0,none,none,None
barstolar,stol,756,715,440.0,450.0,filtered,filtered,"['fatolj', 'stol']"
silver,spegel,104,104,300.0,300.0,none,none,None
charmigt,sidobord,72,72,750.0,750.0,none,none,None
skrivbordsstol,skrivbord,247,228,220.0,200.0,filtered,filtered,"['skrivbord', 'matgrupp']"
karin,fatolj,32,32,5900.0,5000.0,none,weighted,"['fatolj', 'stol']"
amp,matbord,950,950,500.0,500.0,none,none,None
dux,bord,259,82,2500.0,6500.0,none,filtered,"['fatolj', 'stol']"
chippendalestil,skank,12,12,921.0,921.0,none,none,None
betsade,hylla,15,15,412.0,412.0,none,none,None
karmstolar,stol,204,198,500.0,500.0,filtered,filtered,['stol']
miniatyrbyra,byra,0,0,,,none,ignored,['byra']
nymalad,byra,15,15,388.0,388.0,none,none,None
amp,spegel,950,950,500.0,500.0,none,none,None
130cm,sanggavel,15,15,1592.0,1592.0,none,none,None
skuren,vitrin,15,15,426.0,426.0,none,none,None
tradgardsbord,bord,111,183,520.0,520.0,filtered,filtered,"['matbord', 'matgrupp', 'soffbord', 'sidobord', 'skrivbord', 'bord']"
rotting,fatolj,1635,1635,599.0,599.0,none,none,None
sorgarden,matbord,8,8,500.0,500.0,none,none,None
90x200,sang,698,530,750.0,800.0,none,filtered,['sang']
tradgardssoffa,soffa,31,31,1500.0,1500.0,filtered,filtered,"['baddsoffa', 'hornsoffa', 'soffa']"
stallbar,sang,302,248,2500.0,2800.0,none,filtered,['sang']
gustavianska,stol,34,34,900.0,500.0,none,weighted,"['fatolj', 'stol']"
tva,soffa,1837,1837,450.0,450.0,none,none,None
marmorskiva,skank,221,221,800.0,800.0,none,none,None
forvaring,baddsoffa,2126,2126,450.0,450.0,none,none,None
golvspegel,spegel,19,19,280.0,280.0,weighted,weighted,['spegel']
odder,sidobord,15,15,1938.0,1938.0,none,none,None
belysning,vitrin,256,256,750.0,750.0,none,none,None
bokskap,forvaring,22,22,1948.0,4500.0,weighted,weighted,['vitrin']
norrgavel,sanggavel,64,34,2000.0,1780.0,none,filtered,['sanggavel']
sex,sidobord,97,97,500.0,500.0,none,none,None
rusta,spegel,88,88,200.0,200.0,none,none,None
strandmon,fatolj,95,75,900.0,1000.0,none,filtered,"['fatolj', 'stol']"
satsbord,bord,143,46,500.0,600.0,filtered,filtered,"['soffbord', 'matgrupp']"
spjalsang,sang,272,272,500.0,500.0,none,filtered,['sang']
langd,hylla,24,24,186.0,186.0,none,none,None
carl,skrivbord,231,231,2500.0,2500.0,none,none,None
natt,baddsoffa,460,460,350.0,350.0,none,none,None
tal,stol,7337,7337,500.0,500.0,none,none,None
sammetsstolar,matgrupp,54,54,300.0,300.0,weighted,weighted,['stol']
